"country","reach","employment","temp_contract","autonomy_selection","work_experience","trust_parliament","trust_government"
"Germany","National","Full-time","Permanent",5,10,3,3
"Germany","National","Full-time","Permanent",3,7,4,4
"Switzerland","Regional","Full-time","Permanent",4,6,4,4
"Switzerland","Local","Part-time","Permanent",4,7,4,4
"Austria","National","Part-time","Permanent",4,15,3,2
"Switzerland","Local","Freelancer",NA,4,27,4,4
"Germany","Local","Full-time","Permanent",4,24,2,1
"Denmark","National","Full-time","Permanent",3,11,4,3
"Switzerland","Local","Full-time","Permanent",5,25,1,1
"Denmark","National","Full-time","Permanent",2,4,3,3
"Austria","Local","Full-time","Permanent",5,8,3,2
"Denmark","National","Freelancer",NA,4,25,3,3
"UK","Regional","Full-time","Permanent",3,10,3,2
"UK","Transnational","Full-time","Permanent",4,5,3,2
"Austria","National","Full-time","Permanent",3,23,3,2
"Denmark","National","Freelancer",NA,5,25,4,2
"UK","Transnational","Full-time","Permanent",4,11,2,3
"Switzerland","Regional","Full-time","Permanent",4,8,3,3
"Switzerland","National","Part-time","Permanent",4,32,3,4
"Denmark","National","Full-time","Permanent",4,21,3,3
"Switzerland","Regional","Full-time","Permanent",3,13,3,3
"Denmark","National","Full-time","Permanent",3,19,2,2
"Denmark","National","Full-time","Permanent",2,9,3,3
"UK","Transnational","Freelancer",NA,4,29,4,4
"Austria","National","Full-time","Permanent",4,30,3,3
"Germany","Local","Full-time","Permanent",5,20,4,3
"Germany","Regional","Freelancer",NA,2,20,3,3
"Switzerland","Regional","Full-time","Permanent",4,20,2,2
"Austria","Regional","Full-time","Permanent",4,30,3,3
"Denmark","National","Freelancer",NA,4,35,3,3
"Denmark","National","Full-time","Permanent",4,25,3,3
"Denmark","National","Full-time","Temporary",4,2,3,3
"Denmark","Local","Full-time","Permanent",4,8,4,4
"Denmark","National","Full-time","Permanent",3,23,3,2
"Denmark","National","Full-time","Permanent",4,29,3,3
"Denmark","National","Freelancer",NA,2,23,4,2
"Denmark","National","Freelancer",NA,4,4,2,2
"Denmark","National","Full-time","Permanent",5,5,3,2
"Germany","National","Full-time","Permanent",3,15,3,2
"Denmark","National","Part-time","Permanent",5,18,1,3
