"country";"reach";"employment";"temp_contract";"autonomy_selection";"work_experience";"trust_parliament";"trust_government";"name"
"Germany";"National";"Full-time";"Permanent";5;10;3;3;"Rosalie"
"Germany";"National";"Full-time";"Permanent";3;7;4;4;"Laurens"
"Switzerland";"Regional";"Full-time";"Permanent";4;6;4;4;"Florian"
"Switzerland";"Local";"Part-time";"Permanent";4;7;4;4;"Chantal"
"Austria";"National";"Part-time";"Permanent";4;15;3;2;"Cynthia"
"Switzerland";"Local";"Freelancer";NA;4;27;4;4;"Paul"
"Germany";"Local";"Full-time";"Permanent";4;24;2;1;"Jonas"
"Denmark";"National";"Full-time";"Permanent";3;11;4;3;"Tanja"
"Switzerland";"Local";"Full-time";"Permanent";5;25;1;1;"David"
"Denmark";"National";"Full-time";"Permanent";2;4;3;3;"Ferdinand"
"Austria";"Local";"Full-time";"Permanent";5;8;3;2;"Caroline"
"Denmark";"National";"Freelancer";NA;4;25;3;3;"Charline"
"UK";"Regional";"Full-time";"Permanent";3;10;3;2;"Sev"
"UK";"Transnational";"Full-time";"Permanent";4;5;3;2;"Theodor"
"Austria";"National";"Full-time";"Permanent";3;23;3;2;"Helke"
"Denmark";"National";"Freelancer";NA;5;25;4;2;"Joshua"
"UK";"Transnational";"Full-time";"Permanent";4;11;2;3;"Jona"
"Switzerland";"Regional";"Full-time";"Permanent";4;8;3;3;"Konrad"
"Switzerland";"National";"Part-time";"Permanent";4;32;3;4;"Lennart"
"Denmark";"National";"Full-time";"Permanent";4;21;3;3;"Luise"
"Switzerland";"Regional";"Full-time";"Permanent";3;13;3;3;"Wiebke"
"Denmark";"National";"Full-time";"Permanent";3;19;2;2;"Marie"
"Denmark";"National";"Full-time";"Permanent";2;9;3;3;"Rosa"
"UK";"Transnational";"Freelancer";NA;4;29;4;4;"Alma"
"Austria";"National";"Full-time";"Permanent";4;30;3;3;"Ida"
"Germany";"Local";"Full-time";"Permanent";5;20;4;3;"Jean"
"Germany";"Regional";"Freelancer";NA;2;20;3;3;"Leonie"
"Switzerland";"Regional";"Full-time";"Permanent";4;20;2;2;"Tom"
"Austria";"Regional";"Full-time";"Permanent";4;30;3;3;"Maximilian"
"Denmark";"National";"Freelancer";NA;4;35;3;3;"Viktor"
"Denmark";"National";"Full-time";"Permanent";4;25;3;3;"Marianne"
"Denmark";"National";"Full-time";"Temporary";4;2;3;3;"Velma"
"Denmark";"Local";"Full-time";"Permanent";4;8;4;4;"Carl"
"Denmark";"National";"Full-time";"Permanent";3;23;3;2;"Wolf"
"Denmark";"National";"Full-time";"Permanent";4;29;3;3;"Merten"
"Denmark";"National";"Freelancer";NA;2;23;4;2;"Tong-Tong"
"Denmark";"National";"Freelancer";NA;4;4;2;2;"Sal"
"Denmark";"National";"Full-time";"Permanent";5;5;3;2;"Joe"
"Germany";"National";"Full-time";"Permanent";3;15;3;2;"Alex"
"Denmark";"National";"Part-time";"Permanent";5;18;1;3;"Robin"
